,datetime,open,high,low,close,volume,money
137,2016-12-23,3363.86,3378.04,3289.27,3307.6,67292330900.0,692588894126.0
138,2017-01-04,3293.22,3369.57,3267.05,3368.31,55273154000.0,585391643037.0
139,2017-01-13,3368.34,3373.41,3309.37,3319.91,59981373500.0,599050122052.0
140,2017-01-24,3314.15,3378.74,3264.21,3364.45,57106768400.0,580941047997.0
141,2017-02-09,3361.66,3406.59,3347.43,3396.29,48411965500.0,514256345601.0
142,2017-02-20,3398.32,3472.6,3398.03,3471.39,82187192100.0,824956326387.0
143,2017-03-01,3475.06,3492.96,3441.36,3458.44,68987724000.0,734466905847.0
144,2017-03-10,3463.48,3468.47,3412.83,3427.89,56847260100.0,638924848596.0
145,2017-03-21,3425.67,3492.13,3412.69,3466.35,63439869100.0,762225059233.0
146,2017-03-30,3450.75,3505.98,3422.37,3436.76,73733861400.0,840067421568.0
147,2017-04-12,3434.82,3526.82,3430.82,3509.44,100169446500.0,1098868880384.0
148,2017-04-21,3500.28,3518.44,3418.51,3466.79,83350125700.0,890682991544.0
149,2017-05-03,3458.23,3466.57,3399.54,3413.13,73007083000.0,809556022991.0
150,2017-05-12,3404.94,3421.4,3312.89,3385.38,70862034700.0,748158634813.0
151,2017-05-23,3391.59,3434.77,3373.55,3424.19,65464057000.0,707828113127.0
152,2017-06-05,3409.72,3515.08,3383.89,3468.75,68787957500.0,752357679926.0
153,2017-06-14,3464.38,3603.69,3460.45,3535.3,60929161400.0,753813495505.0
154,2017-06-23,3530.75,3635.53,3508.95,3622.88,64790788700.0,814817853531.0
155,2017-07-04,3627.02,3676.53,3611.69,3619.98,68110935400.0,873132375061.0
156,2017-07-13,3611.9,3701.21,3610.46,3686.92,78165724400.0,952656353231.0
157,2017-07-24,3682.62,3755.19,3621.37,3743.47,98665543500.0,1122505096018.0
158,2017-08-02,3742.64,3784.35,3672.5,3760.85,98768052600.0,1090853243333.0
159,2017-08-11,3755.11,3766.35,3645.09,3647.35,97025000000.0,1060145770721.0
160,2017-08-22,3651.38,3758.29,3651.38,3752.3,73171133400.0,907447652491.0
161,2017-08-31,3747.61,3866.94,3729.09,3822.09,91295103200.0,1101253560490.0
162,2017-09-11,3825.34,3865.29,3813.55,3825.65,91837939100.0,1105850452196.1
163,2017-09-20,3832.24,3862.36,3818.52,3842.44,80888355000.0,1043859895683.0
164,2017-09-29,3843.26,3860.8,3808.38,3836.5,67004228500.0,850512969367.0
165,2017-10-17,3910.11,3947.42,3855.47,3913.07,74056583700.0,969068250088.0
166,2017-10-26,3914.82,4013.6,3910.2,3993.58,67312133000.0,851921861545.0
167,2017-11-06,3992.55,4033.34,3960.27,4020.89,90124278500.0,1124874296366.0
168,2017-11-15,4022.4,4137.65,4021.36,4073.67,98113682300.0,1336346625692.0
169,2017-11-24,4063.49,4260.64,4057.49,4104.2,112644888300.0,1545622289496.0
170,2017-12-05,4088.93,4088.93,3982.32,4040.17,83217155800.0,1100689131468.0
171,2017-12-14,4027.12,4070.15,3955.44,4026.15,62862576800.0,890222485951.0
172,2017-12-25,4018.73,4086.93,3967.93,4041.54,59726798700.0,845194432598.0
173,2017-12-29,4040.62,4056.86,3980.24,4030.85,40530193600.0,535135742010.0
